band,image_date,LAI,LAI_filtered
band_1,2018-01-01,0.0,5.000063625017895e-17
band_2,2018-01-05,0.0,-0.0030303030303030364
band_3,2018-01-09,0.0,0.0045454545454545175
band_4,2018-01-13,0.0,0.019696969696969678
band_5,2018-01-17,0.1,0.03939393939393934
band_6,2018-01-21,0.0,0.06969696969696959
band_7,2018-01-25,0.1,0.08268398268398255
band_8,2018-01-29,0.1,0.07835497835497823
band_9,2018-02-02,0.1,0.05670995670995663
band_10,2018-02-06,0.0,0.046320346320346255
band_11,2018-02-10,0.0,0.013852813852813835
band_12,2018-02-14,0.0,-0.012121212121212095
band_13,2018-02-18,0.0,-0.003030303030303021
band_14,2018-02-22,0.0,0.007792207792207783
band_15,2018-02-26,0.0,0.02034632034632032
band_16,2018-03-02,0.1,0.03939393939393934
band_17,2018-03-06,0.0,0.060606060606060524
band_18,2018-03-10,0.1,0.07965367965367955
band_19,2018-03-14,0.1,0.09220779220779209
band_20,2018-03-18,0.1,0.09393939393939381
band_21,2018-03-22,0.1,0.10909090909090893
band_22,2018-03-26,0.1,0.10909090909090893
band_23,2018-03-30,0.1,0.09393939393939381
band_24,2018-04-03,0.1,0.083116883116883
band_25,2018-04-07,0.1,0.06753246753246744
band_26,2018-04-11,0.0,0.06233766233766226
band_27,2018-04-15,0.1,0.09653679653679642
band_28,2018-04-19,0.1,0.128138528138528
band_29,2018-04-23,0.2,0.195238095238095
band_30,2018-04-27,0.30000000000000004,0.20432900432900405
band_31,2018-05-01,0.2,0.2329004329004326
band_32,2018-05-05,0.30000000000000004,0.2545454545454542
band_33,2018-05-09,0.1,0.31385281385281344
band_34,2018-05-13,0.5,0.3510822510822506
band_35,2018-05-17,0.4,0.425541125541125
band_36,2018-05-21,0.6000000000000001,0.47748917748917685
band_37,2018-05-25,0.4,0.5424242424242417
band_38,2018-05-29,0.6000000000000001,0.5519480519480513
band_39,2018-06-02,0.6000000000000001,0.6506493506493498
band_40,2018-06-06,0.7000000000000001,0.6350649350649342
band_41,2018-06-10,0.8,0.7705627705627696
band_42,2018-06-14,0.9,0.876190476190475
band_43,2018-06-18,0.7000000000000001,0.9822510822510808
band_44,2018-06-22,1.5,0.8952380952380941
band_45,2018-06-26,1.3,1.6939393939393916
band_46,2018-06-30,1.5,2.096969696969694
band_47,2018-07-04,2.1,2.5246753246753206
band_48,2018-07-08,5.2,2.4056277056277025
band_49,2018-07-12,1.2000000000000002,2.895670995670992
band_50,2018-07-16,2.7,3.268398268398264
band_51,2018-07-20,2.1,3.0190476190476145
band_52,2018-07-24,5.2,2.5350649350649315
band_53,2018-07-28,2.8000000000000003,3.0683982683982642
band_54,2018-08-01,1.2000000000000002,2.874891774891771
band_55,2018-08-05,2.6,2.905627705627702
band_56,2018-08-09,3.9000000000000004,2.5290043290043256
band_57,2018-08-13,2.5,2.706926406926403
band_58,2018-08-17,2.9000000000000004,2.76406926406926
band_59,2018-08-21,1.6,1.9861471861471833
band_60,2018-08-25,1.6,1.4844155844155824
band_61,2018-08-29,1.6,1.260606060606059
band_62,2018-09-02,0.1,1.1675324675324659
band_63,2018-09-06,1.9000000000000001,1.2190476190476174
band_64,2018-09-10,1.0,1.1294372294372277
band_65,2018-09-14,1.6,0.9978354978354964
band_66,2018-09-18,0.5,0.9653679653679641
band_67,2018-09-22,0.5,0.5632034632034625
band_68,2018-09-26,0.30000000000000004,0.4086580086580081
band_69,2018-09-30,0.5,0.17835497835497816
band_70,2018-10-04,0.1,0.19783549783549756
band_71,2018-10-08,0.0,0.13463203463203444
band_72,2018-10-12,0.1,0.09696969696969684
band_73,2018-10-16,0.2,0.07835497835497826
band_74,2018-10-20,0.1,0.13419913419913404
band_75,2018-10-24,0.1,0.14935064935064915
band_76,2018-10-28,0.2,0.13160173160173141
band_77,2018-11-01,0.1,0.11428571428571413
band_78,2018-11-05,0.1,0.11688311688311673
band_79,2018-11-09,0.1,0.10606060606060591
band_80,2018-11-13,0.1,0.09090909090909079
band_81,2018-11-17,0.1,0.10909090909090893
band_82,2018-11-21,0.1,0.10303030303030289
band_83,2018-11-25,0.1,0.08614718614718603
band_84,2018-11-29,0.1,0.053679653679653605
band_85,2018-12-03,0.0,0.03419913419913416
band_86,2018-12-07,0.0,0.02770562770562767
band_87,2018-12-11,0.0,0.03419913419913416
band_88,2018-12-15,0.1,0.053679653679653605
band_89,2018-12-19,0.1,0.09199134199134178
band_90,2018-12-23,0.1,0.1195526695526694
band_91,2018-12-27,0.1,0.12171717171717178
band_92,2018-12-31,0.1,0.08383838383838423
