date,tmax
2018-04-01,4.5
2018-04-02,1.78
2018-04-03,3.97
2018-04-04,0.14999999
2018-04-05,0.45
2018-04-06,8.49
2018-04-07,-3.3799999
2018-04-08,3.97
2018-04-09,-0.68
2018-04-10,1.7099999
2018-04-11,13.32
2018-04-12,13.73
2018-04-13,15.339999
2018-04-14,8.29
2018-04-15,1.6999999
2018-04-16,-2.22
2018-04-17,1.02
2018-04-18,5.3599997
2018-04-19,2.09
2018-04-20,7.0299997
2018-04-21,12.3
2018-04-22,15.259999
2018-04-23,19.07
2018-04-24,21.109999
2018-04-25,21.09
2018-04-26,16.23
2018-04-27,20.23
2018-04-28,21.619999
2018-04-29,15.309999
2018-04-30,22.109999
2018-05-01,28.609999
2018-05-02,23.9
2018-05-03,15.71
2018-05-04,18.97
2018-05-05,23.439999
2018-05-06,27.51
2018-05-07,24.74
2018-05-08,26.859999
2018-05-09,28.269999
2018-05-10,22.31
2018-05-11,20.199999
2018-05-12,12.88
2018-05-13,11.78
2018-05-14,16.279999
2018-05-15,23.58
2018-05-16,25.67
2018-05-17,28.14
2018-05-18,28.49
2018-05-19,28.849998
2018-05-20,22.14
2018-05-21,17.529999
2018-05-22,19.33
2018-05-23,26.08
2018-05-24,29.72
2018-05-25,31.15
2018-05-26,32.79
2018-05-27,34.86
2018-05-28,36.82
2018-05-29,35.89
2018-05-30,33.26
2018-05-31,27.16
2018-06-01,32.39
2018-06-02,32.45
2018-06-03,24.43
2018-06-04,25.439999
2018-06-05,28.4
2018-06-06,32.07
2018-06-07,31.769999
2018-06-08,27.56
2018-06-09,29.07
2018-06-10,31.279999
2018-06-11,25.519999
2018-06-12,25.66
2018-06-13,29.05
2018-06-14,25.59
2018-06-15,25.72
2018-06-16,32.35
2018-06-17,32.85
2018-06-18,32.64
2018-06-19,31.42
2018-06-20,26.32
2018-06-21,24.029999
2018-06-22,22.59
2018-06-23,23.689999
2018-06-24,25.359999
2018-06-25,27.01
2018-06-26,23.64
2018-06-27,24.99
2018-06-28,27.359999
2018-06-29,28.39
2018-06-30,33.059998
2018-07-01,31.039999
2018-07-02,25.91
2018-07-03,28.359999
2018-07-04,31.38
2018-07-05,32.6
2018-07-06,27.949999
2018-07-07,27.18
2018-07-08,27.439999
2018-07-09,28.8
2018-07-10,32.21
2018-07-11,30.56
2018-07-12,32.61
2018-07-13,33.98
2018-07-14,29.88
2018-07-15,27.97
2018-07-16,30.58
2018-07-17,28.01
2018-07-18,29.3
2018-07-19,28.97
2018-07-20,27.949999
2018-07-21,26.439999
2018-07-22,27.17
2018-07-23,27.58
2018-07-24,28.689999
2018-07-25,28.369999
2018-07-26,28.289999
2018-07-27,25.09
2018-07-28,24.56
2018-07-29,24.1
2018-07-30,26.23
2018-07-31,26.789999
2018-08-01,27.8
2018-08-02,28.88
2018-08-03,25.039999
2018-08-04,32.07
2018-08-05,28.76
2018-08-06,26.75
2018-08-07,27.58
2018-08-08,26.49
2018-08-09,29.26
2018-08-10,30.08
2018-08-11,28.73
2018-08-12,27.99
2018-08-13,29.76
2018-08-14,30.47
2018-08-15,26.019999
2018-08-16,28.31
2018-08-17,25.25
2018-08-18,27.72
2018-08-19,27.33
2018-08-20,26.5
2018-08-21,21.02
2018-08-22,22.23
2018-08-23,24.07
2018-08-24,23.73
2018-08-25,27.15
2018-08-26,28.89
2018-08-27,26.63
2018-08-28,30.109999
2018-08-29,24.9
2018-08-30,21.84
2018-08-31,23.14
2018-09-01,28.439999
2018-09-02,27.49
2018-09-03,26.119999
2018-09-04,24.75
2018-09-05,28.33
2018-09-06,22.949999
2018-09-07,23.92
2018-09-08,20
2018-09-09,22.5
2018-09-10,23.019999
2018-09-11,25.42
2018-09-12,27.019999
2018-09-13,27.039999
2018-09-14,28.75
2018-09-15,30.72
2018-09-16,31.96
2018-09-17,30.58
2018-09-18,33.239998
2018-09-19,22.57
2018-09-20,27.64
2018-09-21,32.3
2018-09-22,16.42
2018-09-23,19.67
2018-09-24,24.47
2018-09-25,25.269999
2018-09-26,14.03
2018-09-27,18.26
2018-09-28,19.8
2018-09-29,11.63
2018-09-30,9.62
2018-10-01,11.099999
2018-10-02,12.11
2018-10-03,20.77
2018-10-04,30.65
2018-10-05,10.95
2018-10-06,13.92
2018-10-07,9.4
2018-10-08,12.639999
2018-10-09,17.97
2018-10-10,18.42
2018-10-11,9.61
2018-10-12,6.3999996
2018-10-13,6.0699997
2018-10-14,14.259999
2018-10-15,3.32
2018-10-16,8.34
2018-10-17,17.25
2018-10-18,11.83
2018-10-19,20.67
2018-10-20,20.109999
2018-10-21,7.06
2018-10-22,16.789999
2018-10-23,19.029999
2018-10-24,12.13
2018-10-25,14.28
2018-10-26,11.19
2018-10-27,10.7699995
2018-10-28,19.029999
2018-10-29,15.259999
2018-10-30,17.25
2018-10-31,13.17
2018-11-01,14.4
2018-11-02,14.799999
2018-11-03,11.29
2018-11-04,6.93
2018-11-05,5.5699997
2018-11-06,7.89
2018-11-07,3.56
2018-11-08,0.68
2018-11-09,-0.64
2018-11-10,-4.73
2018-11-11,-1.27
2018-11-12,3.49
2018-11-13,-4.94
2018-11-14,0.39
2018-11-15,6.75
2018-11-16,8.74
2018-11-17,4.62
2018-11-18,-3.12
2018-11-19,-0.42999998
2018-11-20,-1.9499999
2018-11-21,3.4199998
2018-11-22,0.69
2018-11-23,9.849999
2018-11-24,7.0099998
2018-11-25,7.81
2018-11-26,-2
2018-11-27,-7.6499996
2018-11-28,-3.27
2018-11-29,-2.47
2018-11-30,1.8199999
