date,precipitation
4/1/18,0
4/2/18,0
4/3/18,1.0266205
4/4/18,0
4/5/18,0
4/6/18,0
4/7/18,0
4/8/18,5.3250012
4/9/18,1.8893611
4/10/18,0
4/11/18,0.071
4/12/18,0.024
4/13/18,0.09
4/14/18,78.921
4/15/18,2.4750385
4/16/18,0
4/17/18,0
4/18/18,11.384783
4/19/18,0
4/20/18,0
4/21/18,0.116000004
4/22/18,0
4/23/18,0
4/24/18,0
4/25/18,0
4/26/18,0
4/27/18,0
4/28/18,0
4/29/18,0
4/30/18,0.106000006
5/1/18,5.402067
5/2/18,13.824197
5/3/18,6.7894964
5/4/18,21.997084
5/5/18,0.074
5/6/18,0.58425546
5/7/18,0
5/8/18,0
5/9/18,15.884495
5/10/18,2.5534234
5/11/18,12.124732
5/12/18,0.338
5/13/18,4.100475
5/14/18,16.398956
5/15/18,0
5/16/18,0
5/17/18,0
5/18/18,0
5/19/18,8.46788
5/20/18,3.3331213
5/21/18,4.767539
5/22/18,0
5/23/18,8.900189
5/24/18,0
5/25/18,0
5/26/18,0.821506
5/27/18,7.0952244
5/28/18,1.9671141
5/29/18,5.941605
5/30/18,15.520172
5/31/18,0
6/1/18,0
6/2/18,12.643178
6/3/18,0
6/4/18,0
6/5/18,0
6/6/18,6.9124084
6/7/18,0.119
6/8/18,0.067
6/9/18,0
6/10/18,3.8596463
6/11/18,19.37264
6/12/18,2.872846
6/13/18,0
6/14/18,74.50791
6/15/18,0
6/16/18,0
6/17/18,0.109
6/18/18,38.73696
6/19/18,37.634483
6/20/18,39.277615
6/21/18,9.979998
6/22/18,0.49291378
6/23/18,0
6/24/18,0.149
6/25/18,0.457
6/26/18,4.484335
6/27/18,0
6/28/18,2.91039
6/29/18,0
6/30/18,7.4865913
7/1/18,26.740997
7/2/18,0
7/3/18,0
7/4/18,9.139608
7/5/18,19.391811
7/6/18,0
7/7/18,0
7/8/18,0
7/9/18,0
7/10/18,1.7197456
7/11/18,0
7/12/18,0
7/13/18,12.632534
7/14/18,0
7/15/18,0
7/16/18,0
7/17/18,0
7/18/18,0
7/19/18,0.024
7/20/18,0.011
7/21/18,0
7/22/18,0
7/23/18,0
7/24/18,10.042005
7/25/18,0
7/26/18,15.460956
7/27/18,0
7/28/18,0.254
7/29/18,0
7/30/18,0
7/31/18,0
8/1/18,2.147918
8/2/18,4.6566935
8/3/18,0
8/4/18,0.27199998
8/5/18,17.720472
8/6/18,40.078377
8/7/18,2.4929874
8/8/18,0.45730343
8/9/18,0
8/10/18,0
8/11/18,0
8/12/18,0
8/13/18,0
8/14/18,0
8/15/18,9.906413
8/16/18,33.16838
8/17/18,3.1546156
8/18/18,0
8/19/18,0
8/20/18,111.801544
8/21/18,2.3034887
8/22/18,0
8/23/18,0
8/24/18,2.609815
8/25/18,0
8/26/18,3.590165
8/27/18,9.7962265
8/28/18,24.464033
8/29/18,6.63426
8/30/18,0
8/31/18,0.16299999
9/1/18,0.456
9/2/18,21.339025
9/3/18,4.6578665
9/4/18,5.8938694
9/5/18,24.014818
9/6/18,0.037
9/7/18,0
9/8/18,0
9/9/18,0
9/10/18,0
9/11/18,0
9/12/18,0
9/13/18,0
9/14/18,0
9/15/18,0
9/16/18,0
9/17/18,0
9/18/18,14.718355
9/19/18,37.876553
9/20/18,6.6550407
9/21/18,29.891024
9/22/18,0
9/23/18,0
9/24/18,0
9/25/18,8.773755
9/26/18,0
9/27/18,0.099
9/28/18,0.198
9/29/18,0.93890625
9/30/18,0.063
10/1/18,18.368675
10/2/18,0.7114381
10/3/18,6.621644
10/4/18,2.16989
10/5/18,2.192228
10/6/18,3.7527769
10/7/18,2.4530163
10/8/18,20.820442
10/9/18,23.02396
10/10/18,5.5727544
10/11/18,0
10/12/18,0.274
10/13/18,0.022
10/14/18,3.832682
10/15/18,0
10/16/18,0
10/17/18,0
10/18/18,0
10/19/18,5.62276
10/20/18,0
10/21/18,0
10/22/18,0
10/23/18,0
10/24/18,0
10/25/18,0.275
10/26/18,0.9364215
10/27/18,0
10/28/18,2.6826108
10/29/18,0
10/30/18,0
10/31/18,0
11/1/18,0
11/2/18,2.3018727
11/3/18,20.16226
11/4/18,30.325544
11/5/18,5.909023
11/6/18,3.293144
11/7/18,0
11/8/18,0
11/9/18,0.37600002
11/10/18,0
11/11/18,0
11/12/18,0.029
11/13/18,0
11/14/18,0
11/15/18,0
11/16/18,0
11/17/18,8.018262
11/18/18,0
11/19/18,0
11/20/18,0
11/21/18,0
11/22/18,0
11/23/18,10.469371
11/24/18,0.285
11/25/18,0
11/26/18,0
11/27/18,0
11/28/18,0.66152203
11/29/18,0.007
11/30/18,0.074
